date,AAPL
1990-01-31,0.0
1990-02-28,0.014925373134315079
1990-03-31,-0.021395575006110668
1990-04-30,0.006388959877368983
1990-05-31,-0.0031416143063960345
1990-06-30,0.040697674418613605
1990-07-31,-0.008966493629062544
1990-08-31,0.020689655172384747
1990-09-30,0.026548672566369724
1990-10-31,0.01251234771156473
1990-11-30,0.0
1990-12-31,0.0
1991-01-31,0.0
1991-02-28,-0.017167381974264262
1991-03-31,-0.018050541516226093
1991-04-30,-0.05579399141631636
1991-05-31,-0.013226957799705619
1991-06-30,-0.023529411764698582
1991-07-31,-0.005376344086054807
1991-08-31,0.0
1991-09-30,0.010204081632609663
1991-10-31,0.035175879397000065
1991-11-30,-0.004901960784325032
1991-12-31,-0.006519823788547763
1992-01-31,0.015686274509840725
1992-02-29,-0.014598540145951078
1992-03-31,0.0020643385515153323
1992-04-30,0.05491228070175658
1992-05-31,0.004201680672272667
1992-06-30,0.026737967914477467
1992-07-31,-0.010582010582025791
1992-08-31,0.022222222222171073
1992-09-30,0.00557040998218028
1992-10-31,-0.014084507042267158
1992-11-30,0.01982300884956545
1992-12-31,0.017021276595728052
1993-01-31,-0.006346025384064036
1993-02-28,-0.03196347031959201
1993-03-31,-0.014354066985661662
1993-04-30,0.009852216748800657
1993-05-31,-0.013043478260883812
1993-06-30,0.012820512820519214
1993-07-31,0.018348623853208235
1993-08-31,0.019230769230766054
1993-09-30,-0.020946795140340146
1993-10-31,-0.0080645161290257
1993-11-30,-0.007874015748024488
1993-12-31,-0.01680672268908212
1994-01-31,-0.0367647058823668
1994-02-28,0.013888888888949014
1994-03-31,0.02307692307697362
1994-04-30,-0.008264462809921325
1994-05-31,-0.023046092184374478
1994-06-30,0.014548238897391874
1994-07-31,0.05710699717604206
1994-08-31,-0.0016551724138429424
1994-09-30,-0.012891883973032647
1994-10-31,0.025160218371741427
1994-11-30,-0.02614379084965701
1994-12-31,-0.012658227848094117
1995-01-31,0.006229753301726149
1995-02-28,0.03267973856209205
1995-03-31,-0.0036743923120367006
1995-04-30,0.00976768743402312
1995-05-31,-0.01047619047625814
1995-06-30,-0.01714285714283792
1995-07-31,-0.010989010988973202
1995-08-31,-0.008759797141491
1995-09-30,-0.013245033112569637
1995-10-31,0.030070921985811072
1995-11-30,-0.028535031847168435
1995-12-31,-0.0040624999999582245
1996-01-31,0.011351153423656557
1996-02-29,-0.00900900900900925
1996-03-31,0.015295576684572154
1996-04-30,-0.0153535353535319
1996-05-31,0.024313725490200833
1996-06-30,0.018428709990311765
1996-07-31,0.029480580252701838
1996-08-31,-0.010204081632653406
1996-09-30,-0.0053787539219989355
1996-10-31,0.00568430257980812
1996-11-30,-0.015510204081629175
1996-12-31,-0.0404597701149535
1997-01-31,-0.007761194029845098
1997-02-28,-0.04411764705882526
1997-03-31,-0.01987110633727751
1997-04-30,-0.03900508762012311
1997-05-31,0.0
1997-06-30,-0.02995234853643791
1997-07-31,0.007484168105924338
1997-08-31,-0.011363636363636687
1997-09-30,-0.016772438803254852
1997-10-31,0.03212121212121488
1997-11-30,0.014285714285714679
1997-12-31,-0.004548900682339041
1998-01-31,-0.010270270270268056
1998-02-28,0.005106382978727675
1998-03-31,0.002186588921284649
1998-04-30,0.01370370370370777
1998-05-31,-0.02988338192419382
1998-06-30,0.0
1998-07-31,-0.051232876712300035
1998-08-31,-0.08774495466509347
1998-09-30,-0.034683544303786396
1998-10-31,0.01893523600437219
1998-11-30,-0.08899030233881977
1998-12-31,0.021967049425844376
1999-01-31,0.007583170254389371
1999-02-28,-0.05766107200864423
1999-03-31,0.001672240802624847
1999-04-30,0.06976744186045147
1999-05-31,0.012873563218406714
1999-06-30,0.02049360951957424
1999-07-31,0.03359317000743722
1999-08-31,0.05140186915886846
1999-09-30,0.07196071791397585
1999-10-31,0.028894311031190778
1999-11-30,0.03500423011846521
1999-12-31,0.02492273950752777
2000-01-31,0.020960440858092122
2000-02-29,0.012097130242821219
2000-03-31,0.08000000000001384
2000-04-30,-0.021222879684418383
2000-05-31,-0.04065783462768535
2000-06-30,0.022048780487815778
2000-07-31,0.051749120264956705
2000-08-31,0.024201680672269132
2000-09-30,-0.518691588785053
2000-10-31,0.01294665976176601
2000-11-30,-0.060364464692486575
2000-12-31,0.004726536124230352
2001-01-31,-0.005977011494262774
2001-02-28,-0.05782137325760739
2001-03-31,-0.020417221482448733
2001-04-30,-0.027099236641252467
2001-05-31,0.008594539939334789
2001-06-30,-0.012319456244670124
2001-07-31,-0.007395668251420795
2001-08-31,0.04038137969713973
2001-09-30,0.0
2001-10-31,-0.002272727272717434
2001-11-30,0.04309500489712481
2001-12-31,-0.02362906821221733
2002-01-31,0.02615193026156848
2002-02-28,-0.011839708561039775
2002-03-31,0.008521516829958609
2002-04-30,0.01293823038394959
2002-05-31,-0.037190082644596556
2002-06-30,0.038686987104354253
2002-07-31,-0.011017498379782387
2002-08-31,0.003401360544224241
2002-09-30,-0.01494565217391175
2002-10-31,0.005632040050086884
2002-11-30,-0.013994910941503846
2002-12-31,0.018479033404404044
2003-01-31,0.0027932960893843894
2003-02-28,0.010094212651411416
2003-03-31,-0.029512697323267556
2003-04-30,0.011379800853480004
2003-05-31,-0.008287292817686809
2003-06-30,0.01761879337956973
2003-07-31,0.03944773175548488
2003-08-31,0.01892744479494124
2003-09-30,-0.027230046948312547
2003-10-31,-0.008661758336972136
2003-11-30,0.009169884169881959
2003-12-31,0.004229323308289068
2004-01-31,-0.005291005290982365
2004-02-29,0.038194444444414444
2004-03-31,-0.031518624641863946
