date,MSFT
1990-02-28,0.06756756756757731
1990-03-31,0.1215189873417517
1990-04-30,0.04740406320541779
1990-05-31,0.2586206896551899
1990-06-30,0.041095890410952185
1990-07-31,-0.12500000000000167
1990-08-31,-0.0751879699248168
1990-09-30,0.024390243902444153
1990-10-31,0.011904761904764527
1990-11-30,0.13333333333333774
1990-12-31,0.04152249134947428
1991-01-31,0.30392026578073295
1991-02-28,0.057378719934776834
1991-03-31,0.022843373493971253
1991-04-30,-0.0670938560120633
1991-05-31,0.1085858585858448
1991-06-30,-0.06897494305237739
1991-07-31,0.0789782736347604
1991-08-31,0.15986394557821026
1991-09-30,0.04398826979475223
1991-10-31,0.054719101123559044
1991-11-30,0.03600724406095379
1991-12-31,0.1439588688946023
1992-01-31,0.08089887640448556
1992-02-29,0.02702702702706583
1992-03-31,-0.04048582995952166
1992-04-30,-0.06962025316454268
1992-05-31,0.0975056689341951
1992-06-30,-0.13223140495867036
1992-07-31,0.039285714285741236
1992-08-31,0.02405498281781937
1992-09-30,0.08053691275173502
1992-10-31,0.1024844720496374
1992-11-30,0.04923943661973351
1992-12-31,-0.08322594501718783
1993-01-31,0.013236499941460922
1993-02-28,-0.03618497109825436
1993-03-31,0.10951181480146444
1993-04-30,-0.07567567567567479
1993-05-31,0.08327485380114918
1993-06-30,-0.04988123515441023
1993-07-31,-0.15909090909091284
1993-08-31,0.015135135135187605
1993-09-30,0.09824281150155767
1993-10-31,-0.028848484848467693
1993-11-30,-0.001497753369924415
1993-12-31,0.007749999999983492
1994-01-31,0.05581741503346849
1994-02-28,-0.03078007518797099
1994-03-31,0.027272727272746433
1994-04-30,0.09144542772861897
1994-05-31,0.16216216216216783
1994-06-30,-0.039441860465110556
1994-07-31,-0.0025179159403798668
1994-08-31,0.12873786407770016
1994-09-30,-0.03440564252539746
1994-10-31,0.12239444147515877
1994-11-30,-0.001904761904773844
1994-12-31,-0.027830788804052542
1995-01-31,-0.028627515131706027
1995-02-28,0.060963287302135516
1995-03-31,0.12888888888887373
1995-04-30,0.14946569178855396
1995-05-31,0.0359633027522992
1995-06-30,0.06706813083007224
1995-07-31,0.0014385304857742476
1995-08-31,0.02209944751382742
1995-09-30,-0.021621621621636167
1995-10-31,0.10497237569062712
1995-11-30,-0.1288000000000079
1995-12-31,0.007231404958674803
1996-01-31,0.05413105413106378
1996-02-29,0.06691891891892143
1996-03-31,0.04488803323536317
1996-04-30,0.09823506594260611
1996-05-31,0.04856512141279401
1996-06-30,0.011536842105276834
1996-07-31,-0.01873126873128128
1996-08-31,0.03928056333248575
1996-09-30,0.0765714285714365
1996-10-31,0.0407188353048189
1996-11-30,0.14302367941712713
1996-12-31,0.0532891381947862
1997-01-31,0.23456790123457605
1997-02-28,-0.04411764705881838
1997-03-31,-0.059589743589750443
1997-04-30,0.3251172428836462
1997-05-31,0.020576131687256582
1997-06-30,0.019112903225747102
1997-07-31,0.11877819102636855
1997-08-31,-0.06500212194088628
1997-09-30,0.0009077842499853883
1997-10-31,-0.017458997808146748
1997-11-30,0.08846153846152172
1997-12-31,-0.08657243816258442
1998-01-31,0.15427466150874536
1998-02-28,0.136135129700387
1998-03-31,0.05604719764012689
1998-04-30,0.006927374301661349
1998-05-31,-0.05892143808258665
1998-06-30,0.27779742954846043
1998-07-31,0.014487404263150427
1998-08-31,-0.1273421866472615
1998-09-30,0.14717531790701965
1998-10-31,-0.03807014355804961
1998-11-30,0.15235666383299695
1998-12-31,0.13680327868853603
1999-01-31,0.26180690749150615
1999-02-28,-0.14211428571429785
1999-03-31,0.1938986211949696
1999-04-30,-0.09272483820573207
1999-05-31,-0.007625138359386163
1999-06-30,0.1177345395960061
1999-07-31,-0.04856414236613438
1999-08-31,0.07866216058734943
1999-09-30,-0.02160760587726418
1999-10-31,0.02208480565370552
1999-11-30,-0.016313742437347623
1999-12-31,0.282262493135659
2000-01-31,-0.16171306209850744
2000-02-29,-0.08684990293246586
2000-03-31,0.18887769945173316
2000-04-30,-0.3435294117647071
2000-05-31,-0.10308243727598199
2000-06-30,0.27877237851662473
2000-07-31,-0.1273750000000068
2000-08-31,0.0
2000-09-30,-0.13608365563670943
2000-10-31,0.14193334438733207
2000-11-30,-0.16683606795412442
2000-12-31,-0.2439874520738896
2001-01-31,0.40756108805898994
2001-02-28,-0.03373730756631754
2001-03-31,-0.07305084745765122
2001-04-30,0.23880051197662522
2001-05-31,0.021107011070113257
2001-06-30,0.055218271176637135
2001-07-31,-0.09328767123287851
2001-08-31,-0.13808732436923943
2001-09-30,-0.10306748466256077
2001-10-31,0.13640805159270797
2001-11-30,0.10421324161648227
2001-12-31,0.031770752219303144
2002-01-31,-0.03833962264151769
2002-02-28,-0.08428818081933076
2002-03-31,0.03376756942065762
2002-04-30,-0.13347703531753285
2002-05-31,-0.025832376578634797
2002-06-30,0.07444509919462394
2002-07-31,-0.12285191956122588
2002-08-31,0.022926219258021963
2002-09-30,-0.10880195599024223
2002-10-31,0.22245084590764685
2002-11-30,0.07873573966710046
2002-12-31,-0.10367545076284357
2003-01-31,-0.08201160541582853
2003-02-28,0.001992967150298508
2003-03-31,0.021518987341801576
2003-04-30,0.05617513424200071
2003-05-31,-0.037543996871323815
2003-06-30,0.041852905323047196
2003-07-31,0.03003120124806702
2003-08-31,0.00416508898144885
2003-09-30,0.04826546003015153
2003-10-31,-0.054536927733346174
2003-11-30,-0.016449885233344008
2003-12-31,0.06456631660829926
2004-01-31,0.010230179028151376
2004-02-29,-0.04050632911394325
2004-03-31,-0.06030908405579949
